AffiliateProgram,Product_type,Commission,Cookie,Signup,Description,Categories
Sextoy.com Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=105826&utm_source=getlasso,"Sextoy.com is the leading online adult retailer with 25+ years of experience, offering adult sex toys, vibrators, and lingerie.",Adult
Mandarin Blueprint Affiliate Program,Digital Product,30% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=115542&utm_source=getlasso,Mandarin Blueprint provides full access to their online course to learn Chinese faster without boring textbooks or classes.,"Education, Language"
Reason Studios Affiliate Program,Digital Product,30% Per Sale,Unknown,https://signup.cj.com/member/signup/publisher/?cid=5547530&utm_source=getlasso#/branded,"Reason Studios is a market-leading software for music creators, predominantly within electronic music genres.","Music, Software"
KOIO Affiliate Program,Physical Product,10% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5302977&utm_source=getlasso#/branded,"Koio is a modern luxury footwear brand, making a collection of timeless and high-quality Italian leather sneakers​ for men and women.","Fashion, Luxury, Shoes"
Procana Affiliate Program,Physical Product,20% Per Sale,60 Days,https://signup.cj.com/member/signup/publisher/?cid=5368774&utm_source=getlasso#/branded,"Procana Hemp CBD is a leader for superior quality for health & wellness, created from passion, driven by wellness.","CBD, Health and Wellness, Supplements"
Splashe Affiliate Program,Physical Product,5% Per Sale,Unknown,https://signup.cj.com/member/signup/publisher/?cid=5623677&utm_source=getlasso#/branded,Splashe is a one-stop shop featuring a curated selection and latest trends of the best brands in health and beauty.,"Beauty, Hair Product, Health and Wellness, Skin Care"
Univapo Affiliate Program,Physical Product,15% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98065&utm_source=getlasso,"Univapo is a professional E-cigarette creator, providing high-quality e-cigs and the best purchasing experience.",Vape
Mr. Peanut’s Premium Products Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104006&utm_source=getlasso,"Mr. Peanut's is a certified cruelty-free lifestyle brand, offering airline-approved pet carriers, and other ethically-produced products.","Dog, Pet, Travel"
Koala Affiliate Program,Physical Product,3% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=99570&utm_source=getlasso,"Koala offers photo paper that is widely used for personalized printing needs and indoor photo print, sublimation printing & and more.","Crafts, Electronics"
Diamond Dotz at Home Affiliate Program,Physical Product,25% - 30% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=100637&utm_source=getlasso,Diamond Dotz at Home has unique designs coupled with a world-class quality by making your own dazzling pictures with this unique method.,"Art, Crafts, Home Decor"
PuzzleUp Affiliate Program,Physical Product,20% to 25% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103753&utm_source=getlasso,"PuzzleUp offers puzzles that are very complex with each piece hand-designed as unique, and beautiful for an endless source of fun.","Art, Crafts, Toy"
Maxoak Affiliate Program,Physical Product,5% Per Sale,45 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104912&utm_source=getlasso,"Maxoak is the web's #1 choice for the high-quality portable power station, offering solar generators, power banks, and solar panels.","Electronics, Solar"
BlueJeans Affiliate Program,Digital Product,Unknown,90 Days,https://www.bluejeans.com/partners/affiliate,"BlueJeans by Verizon make video communications as easy and pervasive as audio communications, enabling more effective collaboration.","Software, Tech, Video"
b.glen Affiliate Program,Physical Product,10% Per Sale,30 Days,https://login.linkshare.com/sso/login?service=http%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fprograms%2Fadvertisers.php%3Fcat%3D1%26advertiserSearchBox%3D46574%26exactMatch%3D0&utm_source=getlasso,b.glen is a Japanese skincare company that has been producing scientifically proven effective products using advanced technology.,"Beauty, Health and Wellness, Makeup, Skin Care"
Lunya Company Affiliate Program,Physical Product,2% Per Sale,30 Days,https://login.linkshare.com/sso/login?service=http%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fprograms%2Fadvertisers.php%3Fcat%3D1%26advertiserSearchBox%3D46954%26exactMatch%3D0&utm_source=getlasso,"Lunya Company reinvents sleepwear for the modern woman, carefully crafted as a daily reminder to find beauty in the everyday.",Fashion
Binance Affiliate Program,Digital Service,5% to 40% Per Sale,30 Days,https://www.binance.com/en/activity/referral,"Beyond operating the world's leading cryptocurrency exchange, Binance spans an entire ecosystem. Their vision is to increase the freedom of money globally. They believe that by spreading this freedom, they can significantly improve lives around the world","Cryptocurrency, Financial, Investing"
Ledger Wallet Affiliate Program,Physical Product,10% Per Sale,Varies,https://www.ledgerwallet.com/affiliates,"Critical digital assets are the new oil and securing them is the most important challenge for the coming years. That's where Ledger comes in. Ledger hardware wallets empower you to optimally secure, own, and control your cryptocurrency.",Cryptocurrency
Katherine Way Affiliate Program,Physical Product,10% Per Sale,Unknown,https://account.shareasale.com/newsignup.cfm,"Katherine Way Collections is a clothing line for women who are searching for stylish, fashionably-appropriate clothing.",Fashion
Jubilance Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=104665&utm_source=getlasso,"Jubilance for PMS, a nutritional supplement, a solution for PMS mood symptoms backed by multiple peer-reviewed clinical trials.","Health and Wellness, Supplements"
Gino’s Awards Inc. Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=105310&utm_source=getlasso,"Gino's is an industry leader in awards, gifts, and promotional products, all of which come with free customization.",Gift
First Source Wireless Affiliate Program,Physical Product,5% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=105145&utm_source=getlasso,"First Source Wireless provides best in class products, and services to public safety professionals since 2003.",Electronics
Extratopia Affiliate Program,Physical Product,25% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103429&utm_source=getlasso,"Extratopia is an online fashion clothing store, offering an extensive range of high-quality and latest gorgeous Women's Clothing.","Ecommerce, Fashion"
DOSE Affiliate Program,Physical Product,40% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104933&utm_source=getlasso,"Mindhoney® is an all-natural nootropic supplement made with the perfect blend of adaptogenic herbs, medicinal mushrooms, and vital vitamins.","Health and Wellness, Supplements"
"Communication Solutions, LLC Affiliate Program",Physical Product,18% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=50366&utm_source=getlasso,"Communication Solutions, LLC offers the best foot care products on the market, made from high-quality ingredients.",Health and Wellness
Blue Bear Protection Affiliate Program,Physical Product,15% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5755893&utm_source=getlasso#/branded,"Blue Bear Protection offers face masks, PPE for adults and kids, providing high-quality products, so that everyone can afford to feel safe.","Health and Wellness, Medical"
Wildlife Collections Affiliate Program,Physical Product,10% Per Sale,30 Days,https://wildlifecollections.refersion.com/affiliate/registration,Fahlo makes unique bracelets that allow customers to follow an animal in its journey and educate consumers about wildlife conservation.,Jewelry
the perfect jean Affiliate Program,Physical Product,5% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=104532&utm_source=getlasso,"Perfect Jeans are made with a very high-quality fabric material, manufacturing the perfect jean for perfectly imperfect men.","Fashion, T-Shirt"
Get Out Gear Affiliate Program,Physical Product,10% Per Sale,120 Days,https://app.impact.com/campaign-promo-signup/Get-Out-Gear.brand?execution=e1s1&utm_source=getlasso,"Get Out Gear supports all the happy adventures, offering products from ultralight backpackers to soccer moms hosting a backyard sleepover.","Camping, Mountain Climbing"
Expectful Affiliate Program,Digital Product,$ 10 Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=111052&utm_source=getlasso,"Expectful is a meditation and sleep app that is a haven of holistic care for fertility, pregnancy, and motherhood.","Health and Wellness, Mobile App"
TrueTimber Affiliate Program,Physical Product,7.5% Per Sale,30 Days,https://www.avantlink.com/signup/publisher-united-states/?mi=19661&avad=388_f258c8b75&utm_source=getlasso,"TrueTimber has been developing and designing passion-driven apparel and camouflage patterns for hunters, fishermen, and outdoor enthusiasts.","Ecommerce, Fashion, Fishing, Hunting"
HuntStand Affiliate Program,Digital Product,10% Per Sale,30 Days,https://www.huntstand.com/affiliate-program/,HuntStand is the #1 hunting and land management app in the country. It combines advanced mapping tools with powerful map layers.,"Hunting, Mobile App"
Biglivi Affiliate Program,Physical Product,25% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104153&utm_source=getlasso,"Biglivi.com is an online fashion clothing store, offering an extensive range of high-quality and latest gorgeous Men's Clothing.","Ecommerce, Fashion, High-Paying"
Bellabarnett Affiliate Program,Physical Product,15% Per Sale,30 Days,https://www.shareasale.com/shareASale_b.cfm?merchantId=101634&storeId=0&utm_source=getlasso,Bella Barnett is a women's online boutique known for selling high-end designer-inspired clothing at an affordable price.,Fashion
B GREAT Affiliate Program,Physical Product,20% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104161&utm_source=getlasso,"B GREAT offers 100% full-spectrum hemp lotions, balms, tinctures, and shots that are raising the standard of CBD.","Beauty, CBD, Health and Wellness, Personal Development, Productivity, Skin Care"
Athar’a Pure Affiliate Program,Physical Product,15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=104896&utm_source=getlasso,"Athar'a Pure uses only pure plant sources to create skincare made with 100% All Natural, Vegan, Luxury Skincare Products.","Beauty, Organic Products, Skin Care, Vegan"
Axis Organix Affiliate Program,Physical Product,25% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103512&utm_source=getlasso,"Axis Organix aims to take charge of the CBD industry with Premium, THC-Free, Broad Spectrum CBD products along with full transparency.","CBD, Health and Wellness, Organic Products"
Amor Perfecto Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=104414&utm_source=getlasso,"Amor Perfecto is the world's freshest & most awarded coffee, redefining all concepts of fresh coffee, and roasting fresh beans.","Coffee, Food"
Aroma360 Affiliate Program,Physical Product,15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=102493&utm_source=getlasso,Aroma360 is a boutique Scent Marketing and Branding company that specializes in providing the highest-quality scenting solutions.,"Boutique, Essential Oils"
Actinput Affiliate Program,Physical Product,10% - 15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=91133&utm_source=getlasso,"Actinput compression offers a collection of knee socks, ankle socks, no-show socks, sleeves, and massage guns.","Health and Wellness, Shoes"
LaVivid Affiliate Program,Physical Product,5% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=102461&utm_source=getlasso,LaVivid provides premium quality men’s hair replacement systems to men who are experiencing hair loss at competitive prices.,"Beauty, Hair Product"
Active Dawg Affiliate Program,Physical Product,12% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=105218&utm_source=getlasso,Active Dawg products are tasty meal additives packed with nutritional benefits to support their fur buddies' overall well-being.,"Dog, Organic Products, Pet"
Tracs Purifiers Affiliate Program,Physical Product,20% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=104571&utm_source=getlasso,Tracs Purifiers manufactures portable and ceiling-mounted UV-C air purification systems with hospital-grade HEPA filters and UVC light.,Health and Wellness
Luxe Bouquet Affiliate Program,Physical Product,7% Per Sale,Unknown,https://login.linkshare.com/sso/login?service=http%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fprograms%2Fadvertisers.php%3Fcat%3D1%26advertiserSearchBox%3D46405%26exactMatch%3D0&utm_source=getlasso,Luxe Bouquet is a luxury online florist specializing in Everlasting Roses and flowers that have been preserved to last for over a year.,"Boutique, Gift"
Mrs. Chips Cookies Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103188&utm_source=getlasso,Mrs. Chips Cookies offers the perfect chewy chocolate chip cookies that gives a flavor explosion in each delicious bite.,Food
Almost Famous Clothing Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=101695&utm_source=getlasso,"Almost Famous Clothing offers a superfab selections of stylish denim, novelty tops, sweaters, dresses and outerwear.",Fashion
BargainFox Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.webgains.com/public/en/directory/bargainfox-affiliate-programme/,BargainFox.com sources the best products and best deals to sell to you for a bargain in the most sustainable way.,"All-Around, Ecommerce"
Muc-Off Affiliate Program,Physical Product,7% Per Sale,30 Days,https://muc-off.com/pages/affiliate-programme,"Muc-Off is the go-to brand for top riders and racers, designing and manufacturing bicycles and motorcycles.","Automotive, Bicycle"
SealSkinCovers.com Car and Boat Covers Affiliate Program,Physical Product,12% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=101177&utm_source=getlasso,"SealSkinCovers.com Car and Boat Covers provide premium quality covers for all types of vehicles including cars, boats, jet skis, and more.",Automotive
Canvas HVN Affiliate Program,Physical Product,35% Per Sale,365 Days,https://www.shareasale.com/shareasale.cfm?merchantID=101145&utm_source=getlasso,"Canvas HVN creates motivational and inspirational artwork for your home, office, or gym, offering multiple canvas sizes.","Art, High-Paying, Home Decor"
StudentMags Affiliate Program,Digital Product,$2 Per Sale,45 Days,https://www.linkconnector.com/affiliate-program-details/,Student Mags is a compiled network that offers various discounted online magazines subscription deals on over 800 magazines.,Book
Jambys Affiliate Program,Physical Product,3% Per Sale,24 Hours,https://www.shareasale.com/shareasale.cfm?merchantID=97070&utm_source=getlasso,"Jambys makes a collection of sweatpants, shorts, briefs and boxers with pockets made super-soft, vibrant, and unisex.",Fashion
Amberwing Organics Affiliate Program,Physical Product,10% to 35% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=105472&utm_source=getlasso,"Amberwing Organics offers a variety of Organically grown hemp-based products including Oils, Balms, and more.","CBD, Health and Wellness, High-Paying"
"Glamorise Foundations, Inc. Affiliate Program",Physical Product,10% Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/Glamorise-Foundations.brand?execution=e1s1&utm_source=getlasso,"Glamorise Foundations, Inc. makes the most comfortable, supportive bras for curvy women, offering over 154 different sizes, from A to L cup.",Fashion
Subtle Patriot Affiliate Program,Physical Product,15% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104268&utm_source=getlasso,"Subtle Patriot creates artistically understated, durable, patriotic work, travel, golf, sport shooting, and lifestyle collections.","Fashion, Golf"
Albany Park Affiliate Program,Physical Product,4% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=102247&utm_source=getlasso,"Albany Park offers a remarkable furniture collection that's stylish, super comfortable, and perfect for relaxing.","Home Decor, Home Improvement"
Wellness 4 Humanity Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=105120&utm_source=getlasso,Wellness 4 Humanity is a leading provider of USA-based At Home Covid testing kits including; AT HOME SALIVA RT-PCR TEST & Bundles.,"Health and Wellness, Medical"
Fortes Health Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=101617&utm_source=getlasso,Fortes Health supplies the healthcare industry and individuals everywhere with the tools they need to take charge of their wellness.,"Health and Wellness, Medical"
BeLeev Affiliate Program,Physical Product,10% - 15% Per Sale,90 Days,https://www.beleev.com/pages/join-shareasales-with-beleev,"BELEEV offers a 3 wheel light up scooter, skateboard, balance bike that are designed for toddler and little kids.","Automotive, Bicycle, Electronics"
Lumen (US) Affiliate Program,Physical Product,$10 - $50 Per Sale,30 Days,https://ui.awin.com/merchant-profile/21463/commission-groups,"Lumen offers the world’s first hand-held, portable device to accurately measure metabolism through a single breath and helps you lose weight.","Electronics, Health and Wellness, Tech"
Instyler Affiliate Program,Physical Product,4% Per Sale,30 Days,https://signup.cj.com/member/signup/publisher/?cid=5654162&utm_source=getlasso#/branded,"Instyler offers styling solutions and different hair products for all hair types, especially coarse and thick hair types.","Beauty, Hair Product"
Tabiona Steaks Affiliate Program,Physical Product,8% Per Sale,60 Days,https://www.avantlink.com/programs/21325/?fbclid=IwAR30rlOa9LyCLtXJzSQi4SFJF4xy_KaeIkE30uuy_pUX9tiqxrvca8VD6YM&utm_source=getlasso,"Tabiona Steaks provides the highest quality beef products, free of added hormones or antibiotics to ensure healthy, flavor-packed steaks.",Food
Electric City Roasting Affiliate Program,Physical Product,3.2% Per Sale,7 Days,https://id.pepperjam.com/login?state=2af30332cbcc4bf40c97520ebd41ee19&scope=email+openid&response_type=code&approval_prompt=auto&redirect_uri=https%3A%2F%2Fwww.ascendpartner.com%2Fauthentication%2Foauth&client_id=2ggp1nf36sk58752q5qlue4jnn&utm_source=getlasso,"Electric City Roasting provides award-winning and fresh specialty Coffee Beans in all varieties, roasted to perfection.","Coffee, Food"
noho Affiliate Program,Physical Product,10% Per Sale,30 Days,https://noho.co/pages/noho-affiliate-program,"noho, creates high-quality and sustainable furniture that people treasure and want to keep and is designed to help reduce waste.","Home Decor, Home Improvement"
Haverdash Affiliate Program,Physical Product,$30 Per Sale,24 Hours,https://app.impact.com/campaign-campaign-info/Haverdash.brand,Haverdash is a subscription service that gives women unlimited access to rent the latest styles to experience new trends.,Fashion
Monstar Affiliate Program,Physical Product,$20 - $150 Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=105116&utm_source=getlasso,"Monstar mainly sells portable power stations and solar generators, providing you with the best power solution.","Electronics, High-Paying, Solar"
VIVOSUN INC Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=104812&utm_source=getlasso,"VIVOSUN is one of the top global indoor gardening and hydroponic manufacturers and suppliers, offering reflectors, bulbs, filters, and more.","Electronics, Gardening, Home Decor, Home Improvement"
NEJE.shop Affiliate Program,Physical Product,8% - 15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=101855&utm_source=getlasso,"NEJE is a professional design and manufacturing factory for laser tools, which has established a global supply service network.",Tech
thevintagepaws Affiliate Program,Physical Product,15% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=104983&utm_source=getlasso,"Thevintagepaws.com offers a custom pet portrait printing service, specializing in vintage costumes, hand-drawn portraits, and Popart themes.","Art, Home Decor, Pet"
Dr.’s REMEDY Nail Care Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=103178&utm_source=getlasso,"Dr.'s REMEDY Nail Care is a line of vegan, doctor-inspired nail care, designed to protect and repair using clean, organic ingredients.","Beauty, Makeup, Nail Care, Organic Products, Vegan"
Explore Scientific Affiliate Program,Physical Product,5% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=102148&utm_source=getlasso,"Explore Scientific strives to provide high-quality optics to the astronomy, science, and outdoor products arena.","Electronics, Tech"
PureTree Affiliate Program,Physical Product,8% Per Sale,24 Hours,https://www.shareasale.com/shareasale.cfm?merchantID=101951&utm_source=getlasso,"PureTree offers 100% organic latex pillows, toppers, cotton surface nursing pads, and baby products made for pure materials and comfort.","Health and Wellness, Organic Products"
BeRightBack.ca Affiliate Program,Digital Service,6% Per Sale,30 Days,https://www.berightback.ca/pages/affiliates,"BeRightBack.ca offers the hottest deals on luxurious hotels, Spa & Resort, hidden gems of the B&B world, and so much more.","Hotel, Travel"
Akk Shoes Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=103298&utm_source=getlasso,"akk.com is main about comfy and affordable shoes, unique design, high quality with excellent customer service.","Fashion, Shoes"
Carol AI-Powered Exercise Bike Affiliate Program,Physical Product,$ 250 Per Sale,Unknown,https://signup.cj.com/member/signup/publisher/?cid=5638631&utm_source=getlasso#/branded,"CAROL offers exercise bikes, creating positive stresses on your body to stimulate genes that improve your fitness, sugar control & fat loss.","Bicycle, Electronics, Fitness"
ESK Care Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=100937&utm_source=getlasso,Evidence Skincare is an Australian skincare company that is 100%  anti-aging evidence-based skincare that works.,"Beauty, Skin Care"
Mia Becar Affiliate Program,Physical Product,5% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104943&utm_source=getlasso,"Mia Becar is a direct-to-consumer brand, offering timeless and irresistible designs of handmade luxury footwear for the modern woman.","Fashion, Shoes"
SKINFOOD USA Affiliate Program,Physical Product,10% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=97334&utm_source=getlasso,"SKINFOOD is the first cosmetic brand to root itself in food. resulting in nutritive beauty for healthy, beautiful skin.","Beauty, Hair Product, Makeup, Skin Care"
The Dailey Method Affiliate Program,Digital Service,20% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=102379&utm_source=getlasso,"The Dailey Method® is a one-hour full-body workout that combines core conditioning, stretching, orthopedic exercises, and ballet barre work.","Fitness, Health and Wellness, Weight Loss, Yoga"
AEJuice Affiliate Program,Digital Product,30% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103658&utm_source=getlasso,"AEJuice sells scripts, plugins, templates, and courses for Adobe After Effects, Premiere Pro, and products that work with any video editor.","High-Paying, Software, Tech"
AYAM BEAUTYCARE Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103122&utm_source=getlasso,"AYAM BEAUTY CARE uses top-tier natural ingredients to create innovative, carefully crafted Dead Sea products of quality.","Beauty, Hair Product, Skin Care"
Sneaker Release Tees Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=96587&utm_source=getlasso,Sneaker Release Tees is a brand that produces high-quality t-shirts and gear that matches the latest sneaker releases.,"Ecommerce, Fashion, Shoes"
Surf Gypsy Affiliate Program,Physical Product,7% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=97560&utm_source=getlasso,"Surf Gypsy is the home of the trendiest resort, beach, and loungewear in the market, offering flowy & comfortable, and chic dresses.",Fashion
ChomChom Roller Affiliate Program,Physical Product,5% Per Sale,45 Days,https://app.impact.com/campaign-promo-signup/ChomChom-Roller.brand?execution=e1s1&utm_source=getlasso,"ChomChom Roller is the world's best pet hair remover to be used in place of a vacuum cleaner to keep your furniture, rugs, and car hair-free.","Cat, Dog, Pet"
Rael Affiliate Program,Physical Product,3% Per SaleRael,7 Days,https://app.impact.com/campaign-promo-signup/Rael.brand?execution=e1s1&utm_source=getlasso,"Rael makes periods better with holistic care made with high-quality ingredients for clean, effective pads, tampons and more.","Beauty, Health and Wellness, Skin Care"
Incolorwig Hair Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=104144&utm_source=getlasso,"Incolorwig is one of the leading online colorful wig & human hair retailers, specializing in the latest in women's fashion trends.","Beauty, Hair Product"
Out East Eyewear Affiliate Program,Physical Product,5% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=105188&utm_source=getlasso,"Out East Eyewear is a Luxury Sunglasses Brand with gold plated stylish round styles, handcrafted and designed in The Hamptons.","Eyewear, Fashion"
Yo Mama’s Foods Affiliate Program,Physical Product,30% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=103175&utm_source=getlasso,"Yo Mama's Foods is Amazon's #1 Brand of Pasta Sauce, offering healthy and delicious foods, such as pasta sauces, dressings, and cooking oils.",Food
UrbanEars Affiliate Program,Physical Product,10% Per Sale,45 Days,https://signup.cj.com/member/signup/publisher/?cid=4763212&utm_source=getlasso#/branded,"Urbanears makes headphones that fit your everyday life, supplying the perfect listening device for anyone with a pocket full of music.","Electronics, Music, Tech"
2cool4school Inc. Affiliate Program,Digital Service,40% - 50% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=104760&utm_source=getlasso,"2cool4school Inc. is an online learning platform for kids in grades 1 through 8, with hundreds of fun, hand-picked videos.","Education, High-Paying, Homeschool"
Supernatural Affiliate Program,Physical Product,25% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=99320&utm_source=getlasso,"Supernatural is an all-natural, eco-friendly cleaning product that is sustainably sourced, that smells unbelievably amazing.","Essential Oils, Health and Wellness, High-Paying, Organic Products"
Amarte Skin Care Affiliate Program,Physical Product,10% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=98012&utm_source=getlasso,Amarte Skin Care is a Luxury Korean Skin Care Medical Grade Cosmeceutical ingredients with Active Natural Herbal and Plant Extracts.,"Beauty, Makeup, Skin Care"
Envelopes.com Affiliate Program,Physical Product,2% Per Sale,7 Days,https://app.impact.com/campaign-promo-signup/BIGNAME-Commerce.brand?execution=e1s1&utm_source=getlasso,"Envelopes.com is the #1 envelope company on the internet, delivering thousands of products a day to customers around the globe.","Crafts, Ecommerce"
Atterley UK Affiliate Program,Physical Product,3% Per Sale,Unknown,https://auth.rakutenmarketing.com/auth/realms/rakuten-advertising/protocol/openid-connect/auth?response_type=code&state=K78q2WDWcBbFfIXDuedCXEKg&response_mode=query&redirect_uri=https%3A%2F%2Fcli.linksynergy.com%2Fcli%2Fpublisher%2Fhome.php&nonce=FbKanRIyjbbirdbon-pdcT81&client_id=publisher-dashboard-legacy&code_challenge_method=S256&code_challenge=3u6Q1KO0zvFEDny7xumbcrTDYxCxbMF7fyN7hIBmfRA&scope=openid&utm_source=getlasso,Atterley is a fashion destination that celebrates and redefines the boutique experience with one seamlessly stylish online platform.,"Boutique, Ecommerce, Fashion"
DooDahDeals Affiliate Program,Digital Service,2% Per Sale,30 Days,https://doodahdeals.com/pages/affiliates,"DooDahDeals source and wholesale overstocks, closeouts, and canceled orders direct from manufacturers and distribute to our retail customers.",Ecommerce
Glamoriser UK Affiliate Program,Physical Product,5% Per Sale,30 Days,https://ui.awin.com/merchant-profile/21476?pid=51861&utm_source=getlasso,Glamoriser is a high-profile hair styling appliance brand for over 10 years and has been sold in all major High Street and online retailers.,"Beauty, Hair Product"
Klean Athlete US Affiliate Program,Physical Product,6% and 8% Per Sale,30 Days,https://ui.awin.com/merchant-profile/20759?pid=51861&utm_source=getlasso,Klean Athlete supports active lifestyles and empowers athletes to achieve peak performance through optimal health.,"Beauty, Health and Wellness, Supplements"
Juniper Studio Affiliate Program,Physical Service,5% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=92727&utm_source=getlasso,"Juniper Print Shop is a fast-growing e-commerce retailer that sells one-of-a-kind, large format art prints.","Art, Home Decor"
Brunt Workwear Affiliate Program,Physical Product,3% Per Sale,21 Days,https://ui.awin.com/merchant-profile/21680?pid=51861&utm_source=getlasso,"BRUNT builds the tools you wear at a price you can afford by selling directly to you online, offering a premium work boot.",Shoes
TopResume Affiliate Program,Digital Service,20% Per Sale,30 Days,https://ui.awin.com/merchant-profile/19347?pid=51861&utm_source=getlasso,"TopResume is the world’s premier resume-writing service, analyzing millions of resumes & LinkedIn profiles each year.",Business
Vital Proteins UK Affiliate Program,Physical Product,6% and 13% Per Sale,30 Days,https://ui.awin.com/merchant-profile/21716?pid=51861&utm_source=getlasso,"Vital Proteins is a company dedicated to providing natural, sustainable protein sources that enhance the well-being and health.","Beauty, Supplements, Vegan"
BitDegree Affiliate Program,Digital Service,25% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=104000&utm_source=getlasso,BitDegree - The world's first blockchain-based education platform with token scholarships & talent networking.,"Cryptocurrency, Education"
Jucy Affiliate Program,Physical Service,5% Per Sale,30 Days,https://www.commissionfactory.com/advertiser-directory/jucy-affiliate-program/71828,"JUCY offers custom-built and cheap campervan rental for an epic Australian road trip, giving the travelers the time of their lives.","Automotive, Camping"
